Instance;Size;#Tiles;Value;#Clauses;#Variables;TimeR;MemoryMad;TimeMad;MemoryMer;TimeMer;MemoryBFS;TIMEBFS
1;9;2;2;170;53;0.67;0;0.31;9.9;1.2;0;0.32
2;9;2;2;143;48;2.64;0;0.97;11.4;1.17;0;0.11
3;9;2;2;173;58;0.25;0;0.38;11.5;0.7;0;0.53
4;9;2;2;143;48;0.94;0;0.43;11.5;0.61;0;0.94
5;9;2;2;170;53;0.91;0;0.13;10.9;0.6;0;0.36
6;9;2;2;170;53;0.50;0;0.44;10.8;5.07;0;0.73
7;9;2;2;173;58;0.22;0;0.73;10.8;1;0;0.67
8;9;2;2;173;58;0.67;0;0.68;11;0.37;0;0.38
9;9;2;2;113;38;0.67;0;0.35;10.6;0.74;0;0.18
10;9;2;2;167;48;0.66;0;0.2;10.7;0.87;0;0.14
11;9;3;2;337;110;1.89;0;0.29;11.7;1.77;12.6;0.23
12;9;3;2;297;100;0.14;0;0.95;11.7;0.96;13.9;1.08
13;9;3;2;251;82;0.27;0;0.36;13.6;1.48;13.5;0.5
14;9;3;2;280;96;0.41;0;0.4;13.6;1.39;16.1;0.89
15;9;3;2;313;106;0.74;0;0.11;13.2;1.38;13.7;0.33
16;9;3;2;302;99;0.75;0;0.42;11.8;5.85;14.7;0.71
17;9;3;2;336;110;0.57;0;0.71;10.8;0.77;0;0.65
18;9;3;2;302;99;0.49;0;0.66;12;1.14;7.4;0.35
19;9;3;2;286;93;0.32;0;0.33;11.6;1.5;8.2;1.12
20;9;3;2;336;110;0.77;0;0.19;11.4;1.64;10.9;1.06
21;9;4;2;473;161;0.32;0;0.27;228.6;38.94;392.9;9.54
22;9;4;2;451;150;2.08;208.7;7.93;298.6;48.1;472.1;7.96
23;9;4;2;437;144;0.44;0;0.34;165.1;25.21;268;4.24
24;9;4;2;419;143;0.22;138.2;3.36;230;40.16;398.6;6.64
25;9;4;2;479;164;0.18;1079.4;322.4;243.6;43.04;416.7;8.18
26;9;4;2;444;147;0.59;14.4;0.4;193.9;36.7;328.1;5.58
27;9;4;2;479;164;0.99;0;0.69;252.1;45.03;414.8;7.55
28;9;4;2;491;162;0.79;0;0.64;164.9;24.69;290.9;15.48
29;9;4;2;484;155;0.62;0;0.31;91.8;13.47;143.8;1.94
30;9;4;2;513;174;0.80;315.6;20.17;286.7;56.66;475.1;8.92
31;9;5;2;743;251;0.91;0;0.22;4090.4;721.17;6428.6;106.38
32;9;5;2;658;225;0.98;1320.1;1020.35;4090.9;666.36;6427.3;73.68
33;9;5;2;732;243;0.09;0;0.32;3948.6;670.52;6426.4;104.28
34;9;5;2;685;232;0.79;1296.4;1800.09;4092.3;626.64;6430.1;105.63
35;9;5;2;789;258;0.38;0;0.3;3156.1;591.82;5511.6;89.36
36;9;5;2;646;220;0.40;1077.7;346.82;3932.4;599.15;6425.4;111.94
37;9;5;2;779;263;0.70;1880.9;1800.16;4014.1;683.84;6320;603.57
38;9;5;2;770;251;0.58;0;0.62;2486.7;447.26;4137.4;72.86
39;9;5;2;644;220;3.23;1915.9;1800.13;4090.8;608.06;6391.5;134.09
40;9;5;2;757;256;0.40;0;0.79;4092.8;646.07;6419;103.76
41;9;5;2;652;221;0.26;1926.7;753.16;3958.8;670.98;6429.8;74.43
42;9;5;2;619;207;0.80;426.3;44.77;4091.2;743.93;6430.4;115.88
43;9;5;2;741;243;0.34;0;0.29;3942.5;570.81;6424.6;107.29
44;9;5;2;573;196;0.09;263.4;7.72;4090.4;704;6426.7;99.17
45;16;5;2;1295;402;0.87;2295.4;352.28;3775.6;430.38;6427.1;98.36
46;12;5;2;903;297;0.74;0;0.26;3944.4;590.85;6423.4;78.94
47;9;5;2;676;226;0.45;0;0.23;4091.2;700.62;6426.1;112.42
48;9;5;2;509;174;0.66;1724.8;1800.08;4092.2;699.43;6428.4;154.87
49;9;5;2;628;215;0.09;1482.7;1800.13;4091.6;707.89;6426;75.03
50;9;5;2;611;205;0.87;0;0.75;4021.1;759.05;6426.1;76.66
51;9;6;2;783;266;0.44;0;0.19;3753.8;632.97;6427.8;111.49
52;12;6;2;1253;415;0.75;1534.7;1800.14;3940.3;550.5;6428.7;180.66
53;9;6;2;843;286;0.42;0;0.27;3937.9;659.49;6428.4;79.87
54;9;6;2;847;288;0.76;1277.9;1800.08;3659.1;826.44;6425.5;123.21
55;9;6;2;793;269;0.79;0;0.17;3943;694.28;6423.4;110.8
56;12;6;2;1248;395;1.16;1956.6;1800.08;3957;528.58;6424.8;72.88
57;12;6;2;1353;443;1.09;2438.8;611.51;4088.8;554.02;6426;82.4
